review_text,rating,helpful,funny,playtime_forever,playtime_at_review,playtime_last_two_weeks,timestamp,datetime,playtime_forever_hours,playtime_at_review_hours
"I pray that a game like this is made one day. I have replayed this for 20 years probably and nothing comes close. 
Please, oh please make another war game like this one",True,1,0,2475,1733,1447,1776585259,2026-04-19 07:54:19,41.25,28.883333333333333
"although the graphics arent great (2008 graphics keep in mind), and the mechanics can be annoying at times. overall a great game worth a playthrough (the kinda game you play once and never touch again). shame that the series was never continued though. 6.5/10.",True,1,0,607,493,607,1776551480,2026-04-18 22:31:20,10.116666666666667,8.216666666666667
Incredible. Maybe the best WWII shooter there is. The squad tactics keeps this feeling as fresh as the day it came out. Played this blind in 2026 and I'm floored this has been here the whole time ,True,3,0,578,578,0,1774833848,2026-03-30 01:24:08,9.633333333333333,9.633333333333333
"Hell's Highway is a decent squad-based shooter. Story is a bit corny at times, but still gets the point across. The gameplay will eventually feel repetitive. At most, from previous titles, the game offers 2 new squads and a cover system that helps in firing at enemy positions. While it is nice to play in the few tank missions, it is rather sad you no longer get to command one unlike the previous installments. For a game made at its time, its decent. Not perfect, but decent. Wish Gearbox adds a 4th installment though.",True,1,0,586,586,0,1774279483,2026-03-23 15:24:43,9.766666666666667,9.766666666666667
"Never played this BiA game, I had the original 2 on classic xbox years ago. This one is really good and the quality is damn levels above the prior 2 and truly holds up today. The weapons are pretty meaty sounding and the combat is hella satisfying.

I was also absolutely blown away when I heard Colonel Sink was voiced by Dale Dye!

I hope one day this franchise gets a 4th entry or a complete remaster of all 3 games, It would be amazing in todays market.",True,3,0,390,124,0,1774197443,2026-03-22 16:37:23,6.5,2.066666666666667
"This game is just a mess really.  Like the entire franchise it is just not interesting, nor is it a great story. It is not bad but just blatant propaganda. Honestly Baker is not as interesting as some of the other members of the unit.

First the gameplay. The game is just an on-rails shooter basically. You have chest-high walls and cover placed conveniently to fire upon enemies and push forward. The enemy AI is basically useless as they stick to their cover and move only a little bit one you kill most of their unit. Then they just move to the next cover and again... stay put awaiting death.
Missions are more like arcade levels where you can peak, wait for the enemy to peak as well and then just headshot them. That is it. Your units are only good for suppressing fire and taking enemy fire, but the moment you are spotted you are a prime target, so you dont rush in, you just flank and snipe everyone. It is extremely boring to play like this. You have no incentive to try different tactics, because for some reason the enemies are either in cover waiting or they push into the 1st cover on the other side of the shooting range and wait.... they do not attack you or try to flank you. 
They go down easily but so do you, so the segment where you go solo in a house are really annoying. As the game was not built for breach and clear type of scenarios. You still push to a knocked over cabinet, then take cover (which for some reason is almost an instant safe mode because if you crouch behind the same cover - in a way you cant see the enemy, you still get hit, but if you get into cover they magically cant hit you anymore lmao) and you proceed to shoot anyone that peeks first, rinse and repeat. Squads can die quickly so they too are useless in pushing. So in the end you end up going solo, flanking solo and sniping enemies one by one until you can push forward. Talk about boring.

Another aspect i despised is the control scheme and the way holding the right click and clicking the right click immedeately issue orders. For the life of me I do not know how many times i thought about ordering to cover fire but ended up clicking for them to go to the point up to the enemy... In the heat of battle this is awful. And best of all, THERE IS NO CANCEL ORDER BUTTON TO THELL THEM TO STAY PUT. Rainbow Six had this and that game was older.

The graphics are serviceable. Although the maps are really closed, narrow corridors that make you feel like you are replaying the same levels even from previous games. Destructable objects are few and far between but are a welcome edition.

The soundtrack and sound design is okay. I do not have much positive or negative to say. It is just there and after a while I cant even remember the soundtrack. Generic military ww2 stuff.

Now the story. As always with these overly dramatic WW2 Murican games that want to talk about the horrors of war, but also about heroes and liberators, they fall flat. Even though the cast is interesting, the overdramaticized story ruins the whole experience. I guess they tried to be like Band of Brothers and went for the cinematic approach, but they are just not fit for this. This is a movie game. So the predictable aspect of PTSD is the key point for our main character, but why so soon. It is barely 3 months after the events of the 1st game and the main character already has heavy PTSD because of private Legett.. In reality while in action your brain does not develop PTSD that quickly. It takes about 3 months to develop and that is with WAR VETERANS. Meaning people out of combat when the brain is trying to adjust to regular life. When you have time to ponder on everything due to no imminent danger and even extra free time (thinking too much) that is the point where the PTSD really kicks in. Daily life. Not in combat when there are bullets flying over your head. Every comrade that dies is a big thing, every ally is a good guy/hero, the Germans are monsters, yada yada. The obvious propaganda shlock. I can talk about war crimes from the US side regarding local women and such but here one private dies trying to save a girl he randomly kissed on a parade in a foreign country. Someone would consider that SA though. Also the part with the kid is dumb as hell. Blatant propaganda. Demonizing the enemy and making this Yankee hero look like a saint. I can go on and on but this has already gone long enough.

Thankfully we do not have more sequels from this series. The ""WW2 muh freedom"" fatigue was real and ended this series. For someone whose family went trough insane horrors of war and returned to destroyed cities with lots of missing friends and families, never to be seen again, starting to rebuild and go on, this game felt like an insult to real war veterans. The US could go to their warm homes and healty family and neighbors, then cry about PTSD because they had to go to Europe and shoot some small contingent of Germans while witnessing less than 1% of what horrors were done on the other parts of Europe. Also had their time with French girls and Wine from time to time.",False,1,4,441,441,0,1773151138,2026-03-10 13:58:58,7.35,7.35
A bummer we never got the battle of the bulge here. It's a bit of a mixed bag compared to earned in blood but still very enjoyable. A very hectic and tactical experience that is oddly unique in a shooter.,True,0,0,491,491,0,1772996382,2026-03-08 18:59:42,8.183333333333334,8.183333333333334
"I've played through once on PC, but I have easily a couple hundred hours on console, and I just need to say, this game is a MASTERPIECE. I have never played another game in this genre or similar that is as incredible in every way. If you have any doubts at all, don't worry, PLAY IT. It's worth it, trust me.",True,0,0,426,426,0,1772862757,2026-03-07 05:52:37,7.1,7.1
"Brothers in Arms: Hell's Highway, developed by Gearbox Software and published by Ubisoft, represents the most ambitious and emotionally intense chapter in the Brothers in Arms trilogy. Shifting the setting from the hedgerows of Normandy to the embattled towns and highways of the Netherlands during Operation Market Garden, the game continues the story of Staff Sergeant Matt Baker and the 101st Airborne Division as they attempt to secure vital routes through enemy territory. While it retains the series’ signature emphasis on tactical squad-based combat, this installment deepens both its mechanical systems and its narrative ambition, aiming to portray not only the strategy of warfare but also its psychological toll.

At its core, Hell’s Highway remains firmly committed to the tactical philosophy that defined its predecessors. Combat revolves around suppression and flanking rather than reflex-driven gunplay. Enemy machine-gun nests and entrenched infantry are formidable threats, requiring careful coordination between Baker’s fire teams and assault squads. The player must pin enemies down with sustained fire before maneuvering a squad to attack from a vulnerable angle. This structured battlefield choreography continues to provide satisfying tactical problem-solving, and the more open urban environments of Dutch towns introduce verticality and tighter corridors that vary the formula. Buildings can be entered, streets become deadly chokepoints, and destructible cover changes firefights dynamically, reinforcing the need for adaptability.

The addition of a modernized cover system marks a significant evolution for the series. Baker can now snap to cover, lean out to fire, and move between positions with greater fluidity, giving engagements a more immediate and contemporary feel compared to the earlier titles. The health system also shifts to a regenerative “threat” mechanic, where sustained exposure to gunfire results in a red haze and eventual death, encouraging careful positioning rather than reckless advances. Although some purists preferred the harsher health rules of previous entries, the updated system helps balance realism with accessibility, smoothing out frustration without abandoning the importance of tactical caution.

One of the most striking elements of Hell’s Highway is its presentation. Built on Unreal Engine 3, the game delivers a noticeable leap in visual fidelity. Character models are more expressive, environments are richly detailed, and lighting effects give the war-torn Dutch countryside a somber atmosphere. Smoke drifts through shattered streets, artillery blasts send debris scattering, and nighttime missions are bathed in an eerie glow that heightens tension. The sound design complements the visuals with sharp weapon reports, distant explosions, and urgent shouts from squadmates that create an immersive battlefield soundscape. A controversial but memorable addition is the dynamic action camera, which slows time and shifts perspective during dramatic kills or explosions. While some players may find it stylistically intrusive, it undeniably amplifies the intensity of key moments.

Narratively, Hell’s Highway aims higher than most shooters of its era. The story does not merely recount military objectives; it delves into the psychological strain of leadership and survivor’s guilt. Baker is portrayed as a man weighed down by past decisions and haunted by earlier losses, and these emotional threads weave through the campaign’s cutscenes and quieter moments. The game explores themes of responsibility, sacrifice, and the blurred line between duty and personal anguish. Squad members are given distinct personalities and arcs, making their fates feel meaningful rather than incidental. The tone is somber and introspective, occasionally bordering on surreal in its depiction of trauma, which gives the experience a gravity that lingers long after firefights end.

Despite its strengths, the game is not flawless. Certain encounters can feel scripted, and while environments are more expansive, the overall mission structure still funnels players along fairly linear paths. The action camera and cinematic flourishes, though impactful, sometimes clash with the grounded realism the series strives for. Multiplayer modes exist but never achieve the same level of depth or acclaim as the single-player campaign, leaving the core experience centered firmly on the story-driven tactical journey. Additionally, AI behavior, while generally competent, can occasionally falter, leading to moments where squadmates hesitate or enemies react predictably.

Even with these imperfections, Brothers in Arms: Hell’s Highway stands as a compelling culmination of the trilogy’s vision. It refines the tactical systems that set the series apart while elevating the emotional storytelling to new heights. The portrayal of Operation Market Garden provides a fresh historical backdrop rarely explored in mainstream shooters, and the focus on the human cost of war gives the campaign resonance beyond its objectives. For players who appreciate deliberate pacing, squad coordination, and character-driven narratives within a World War II setting, the game offers a rich and immersive experience that balances strategic depth with cinematic intensity.

Rating: 9/10",True,2,0,825,825,0,1771280886,2026-02-16 22:28:06,13.75,13.75
"Truely an amazing game that also shows the consequences war has on mans body and soul. We see over the games how all of it affects Baker and the guilt he carries.

To bad a 4th game hasnt been made since the story isnt finished. I recommend buying all three games.",True,2,0,769,769,0,1769371463,2026-01-25 20:04:23,12.816666666666666,12.816666666666666
"Been playing this game since release on console. The fact I can sit down to replay it countless times over in the span of nearly 20 years is a clear signal of how this game ""got it right"" at least back when it came out. Haven't played this yet? Play it. Don't know if it is good game? It is good game.",True,9,0,1278,1278,0,1769134582,2026-01-23 02:16:22,21.3,21.3
"Best of the 3 games by far! Don't get me wrong, its not a perfect game but its a classic, and a real shame the 4th one never came out. Imo the graphics are still pretty good and hold up fairly well by todays standards.",True,0,0,478,478,0,1768833588,2026-01-19 14:39:48,7.966666666666667,7.966666666666667
"Series in dire need of a remaster.

Man, do I love some Brothers in Arms. This series always surprises me with its storytelling and setting, even more in this game. Thanks to great dialog and voice acting paired with outdated but still great graphics, it's able to create a nerve-wracking and tense atmosphere, very much in tune with the real events being presented. The portrayal of each episode is great with the exception of some more mellow circumstances that divert you from the importance of the situation and what's really at stake.

The gameplay always feels fresh and unique even though the level design is not the most complete or in-depth. Even then, it gives you plenty of routes to try different approaches and figure out the best solution. There are plenty of commanding sections sprinkled in with some solo situations. Here things get a bit messy with the AI, as it tries to kill itself at every step and ends up being really difficult to control and do exactly what you expect. But when it's able to follow your instructions and you reach the expected outcome, it's really rewarding. The shooting is okay; sometimes you feel like you can hit all your shots, sometimes you don't even know how you missed, but even that plays into the type of game it is, with some great mechanics implemented into this part of the game.

There's plenty of content to go through and even more after finishing the main story. The progression is fair, but towards the end of the game, missions get really hard, your character feels like it's not able to sponge as many hits as before, and you're being hit from nonexistent or non-shooting enemies.

The art and cutscenes look and feel polished and are accompanied by some great sound design. Would benefit from more weapon variety.

The whole series deserves a remaster and even a sequel.",True,24,1,414,414,0,1768505328,2026-01-15 19:28:48,6.9,6.9
"FIFTEEN MINUTES of cutscenes which are UNSKIPPABLE and TWO minutes of gameplay, i didnt realise i bought an animated film which when it does have a boring introduction mission where a bomb falls on him followed by more unskippable dialogue then transitions to ANOTHER unskippable cutscene.
It has 3rd world controls, shift to swap weapon and space to sprint with no ADS????????????????????????????????
what a SHAMBLES of a game series",False,3,2,18,18,0,1768504068,2026-01-15 19:07:48,0.3,0.3
"Story is amazing, especially compared to the first two games, in someway the first two games are like Assassins Creed, but then this game is like Assassins Creed 2, if you get what I mean then you get it. If you have played the other two Brother in Arms games, then you definitely have to play this one.
The gameplay is really fun and challenging as well, but smoother than the first two games, plus you can accurately shoot nazi's heads clean off.
Controls depending on if you play keyboard or controller, they are a little tricky as moving your units around, but after the first couple of missions you get used to it.
I actually miss games like these, I would hope for a fourth game to come out and blow everyone's mind, but I doubt it.
I had zero bugs or issues.

10/10 - Chefs Kiss x",True,0,0,539,539,0,1768311448,2026-01-13 13:37:28,8.983333333333333,8.983333333333333
"Russian Roulette of a game; it'll either just work or it'll never work and always crash on you (and it'll stay that way too, as there is no fix). Also youre not missing much tbh; Just get Hill 30 & Earned in blood",False,0,0,600,600,0,1767402100,2026-01-03 01:01:40,10.0,10.0
"Honestly surprised how well this played considering the last time i touched this game was over 15 years ago, It's a intresting look back at shooters back in the early 2000's.

Story is quite emotional althrough what I'm more surprised was how well the gameplay worked, the positioning of your troops can be a bit finiky but it's honestly quite good for most of it, When things ♥♥♥♥♥♥ up it was usually because of my own mistakes except the bazooka, That thing was limited as hell. 
",True,1,0,713,713,0,1766659383,2025-12-25 10:43:03,11.883333333333333,11.883333333333333
"Consider myself pleasantly surprised. 

A far more artful and thoughtful experience than what's on the box art. Its a Call of Duty game with actual restraint. Its squad tactics are legible; A.I provides a decent challenge and there some shocking strong moments of psychological horror and brutal historical realism here. Frankly ahead of its time; especially in its cutscene direction. 

Soundtrack is a bit too saccharin for text of the material;  mission and weapon variety suffers from repetitive design and there are no real surprises given they chose to cover the most overplayed and over represented part of the war; but in all honesty; this is a frankly superb experience.  

8/10",True,7,0,523,523,0,1765086103,2025-12-07 05:41:43,8.716666666666667,8.716666666666667
"I played through this game over a decade ago on the Xbox 360 and having played through it again now on PC I can say that this version is excellent. While there are more glitches than I remember such as bugged out AI and Tanks rolling on their back wheels they were few and far between. The story is still rich, the visuals excellent, the sound design engrossing, and the gameplay is still a fantastic mix of challenge, tactical shooting, and strategy. One of the best FPS games on the market, the inclusion of third person cover mechanics was also an awesome feature here that the first two games by and larger lacked outside of manning large weapons. Fantastic game, cannot recommend it enough.",True,0,0,467,467,0,1765003415,2025-12-06 06:43:35,7.783333333333333,7.783333333333333
This Was A Roller Coster Of Emotions... I love the graphics the story and well everything we NEED more games like this as well as you know the frouth Brothers In Arms Game PLEASE UBISOFT AND GEARBOX PLEASE!!!!!,True,3,0,809,497,0,1764740648,2025-12-03 05:44:08,13.483333333333333,8.283333333333333
"I played it all the way through on the xbox soon after it came out back in the day. The controls on the pc are not always easy to remember particularly as I have remapped as I am lefthanded, which stops my more casual approach to playing this, but I have good memories playing this through so am biased - I think it great. This type of story led game you see less of now. I've played a few of the brothers in arms games, but this is my favourite.",True,1,0,774,307,0,1762892443,2025-11-11 20:20:43,12.9,5.116666666666666
Great game with great amount of effort put into the story and the  personality of the individual characters!! Historically seems to be very accurate to what went on in the European Theater in World War 2 after the D- Day Invasion.,True,1,0,21050,21034,0,1761785232,2025-10-30 00:47:12,350.8333333333333,350.56666666666666
"It's just not for me. I really enjoy the music, the visuals, and the camera work. The gunplay is simple, but fun, and I enjoy the historical accuracy that has gone into this. 

The story seems a little dry/lacking substance, and so I don't really see a reason to stay for that. My main issue is, the core gameplay loop is one I find not too enjoyable. While the maps are cool, they are very much linear, with a very clear, direct path that you must take to your objective at all times. And objectives often amount to little more than shooting a bunch of Germans in x area, and then moving on to do the same thing again. The AI isn't smart enough to make that not boring after a couple times. 

I know lots of people like this game, and I appreciate the work the devs put in...but it's just not for me.",False,0,0,120,120,0,1760880748,2025-10-19 13:32:28,2.0,2.0
