epoch,loss,train_acc,val_acc,test_acc
1,1.1070343255996704,0.3449999988079071,0.36500000953674316,0.3499999940395355
2,1.0919990539550781,0.3383333384990692,0.32499998807907104,0.3100000023841858
3,1.0794568061828613,0.4033333361148834,0.4300000071525574,0.39500001072883606
4,1.0682185888290405,0.3916666805744171,0.41999998688697815,0.4050000011920929
5,1.0573325157165527,0.3916666805744171,0.41999998688697815,0.4050000011920929
6,1.0463542938232422,0.3933333456516266,0.41999998688697815,0.4050000011920929
7,1.0350319147109985,0.40666666626930237,0.4300000071525574,0.4099999964237213
8,1.0232481956481934,0.44333332777023315,0.4699999988079071,0.4399999976158142
9,1.0110058784484863,0.4950000047683716,0.5249999761581421,0.48500001430511475
10,0.9983394145965576,0.5533333420753479,0.5799999833106995,0.5199999809265137
11,0.9852787256240845,0.57833331823349,0.5899999737739563,0.5350000262260437
12,0.9718427658081055,0.5699999928474426,0.6100000143051147,0.5299999713897705
13,0.9580512642860413,0.5616666674613953,0.625,0.5299999713897705
14,0.9439161419868469,0.5616666674613953,0.6150000095367432,0.5299999713897705
15,0.9295104146003723,0.5583333373069763,0.6100000143051147,0.5249999761581421
16,0.9149479269981384,0.5583333373069763,0.6100000143051147,0.5149999856948853
17,0.9003595113754272,0.5583333373069763,0.6100000143051147,0.5149999856948853
18,0.8858464360237122,0.5583333373069763,0.6100000143051147,0.5099999904632568
19,0.8715016841888428,0.5616666674613953,0.6100000143051147,0.5099999904632568
20,0.8574080467224121,0.5649999976158142,0.6100000143051147,0.5099999904632568
21,0.8435767889022827,0.5666666626930237,0.6100000143051147,0.5199999809265137
22,0.8300502300262451,0.5849999785423279,0.6150000095367432,0.5299999713897705
23,0.8168910145759583,0.6150000095367432,0.6299999952316284,0.550000011920929
24,0.8041515946388245,0.6333333253860474,0.6499999761581421,0.574999988079071
25,0.7918752431869507,0.6499999761581421,0.6549999713897705,0.6050000190734863
26,0.7800852060317993,0.6549999713897705,0.6549999713897705,0.6150000095367432
27,0.7687914371490479,0.6583333611488342,0.6700000166893005,0.6299999952316284
28,0.7579925656318665,0.6516666412353516,0.6650000214576721,0.6349999904632568
29,0.7476909160614014,0.6516666412353516,0.6600000262260437,0.6299999952316284
30,0.7378866076469421,0.6499999761581421,0.6600000262260437,0.6349999904632568
